Unnamed: 0,Ürün Markası,Ürün Fiyatı (TL),Ürün Favorisi,Ürün Puanı,Ürün Puan Sayısı,Ürün URL,İşlemci Tipi,Ram (GB),SSD Kapasitesi (GB),İşletim Sistemi,Garanti Tipi,Ekran Kartı,Ekran Boyutu (inch),Kullanım Amacı,Ekran Kartı Tipi,Ekran Kartı Hafızası (GB),İşlemci Modeli,İşlemci Çekirdek Sayısı,İşlemci Nesli,Dokunmatik Ekran,Klavye,Garanti Süresi (Yıl),Ürün Modeli,Aydınlatma Durumu,HDMI,İşlemci Performans Skoru,İşlemci Performans Kategorisi,Ekran Kartı Markası,Ekran Kartı Kategorisi,İşlemci Markası,Fiyat Aralığı,cluster,performance_level,Ürün Rating
0,CASPER,44799,164,4.5,2,https://www.trendyol.com/casper/excalibur-g870-1270-bfb0a-b-intel-core-i7-12700h-16gb-ram-1tb-nvme-ssd-gen4-8gb-rtx4060-w11-p-804769241,Intel Core i7,16,1024,Windows,Resmi Distribütör Garantili,Nvidia GeForce RTX 4060,15.6,Oyun,1,8,12700H,14,12. Nesil,0,Q Türkçe,2,Excalibur,1,0,7.600000000000001,4,Nvidia,4,Intel,"(40000, 60000]",1,Yüksek Performans,8.894676723134618
1,Dell,61000,629,4.0,4,https://www.trendyol.com/dell/g16-7630-i9-13900hx-32gb-1tb-ssd-8gb-rtx4070-16-0-qhd-freedos-g76302401024u-p-819639022,Intel Core i9,32,1024,FreeDos,Resmi Distribütör Garantili,Nvidia GeForce RTX 4070,16.0,Oyun,1,8,13900HX,24,13. Nesil,0,Q Türkçe,2,Gaming,0,1,10.0,5,Nvidia,5,Intel,"(60000, 80000]",1,Yüksek Performans,7.801957714618241
2,LENOVO,8499,7408,4.7,26,https://www.trendyol.com/lenovo/ideapad-intel-celeron-n4020-4gb-256gb-ssd-windows-11-home-15-6-82v700a9txa1-p-819581735,Intel Celeron,4,256,Windows,Resmi Distribütör Garantili,Intel Graphics,15.6,Ev - Okul,0,0,N4020,2,Gemini Lake Refresh,0,Q Türkçe,2,Ideapad,0,1,2.0,1,Intel,1,Intel,"(0, 20000]",0,Düşük Performans,9.97017154901997
3,CASPER,23899,313,5.0,1,https://www.trendyol.com/casper/nirvana-c550-1235-df00r-g-f-intel-core-i5-1235u-32gb-ram-1tb-nvme-ssd-windows-11-pro-p-740918876,Intel Core i5,32,1024,Windows,Resmi Distribütör Garantili,Intel Graphics,15.6,Ofis - İş,0,0,1235U,6,12. Nesil,0,Q Türkçe,2,Nirvana,1,1,6.000000000000001,3,Intel,1,Intel,"(20000, 40000]",3,Orta Performans,10.028459404038351
4,MONSTER,36005,6540,4.5,108,https://www.trendyol.com/monster/tulpar-t5-v23-3-2-intel-core-i5-12450h-32-gb-ram-1-tb-ssd-8-gb-rtx-4060-freedos-15-6-fhd-144-hz-p-762942774,Intel Core i5,32,1024,FreeDos,Resmi Distribütör Garantili,Nvidia GeForce RTX 4060,15.6,Oyun,1,8,12450H,8,12. Nesil,0,Q Türkçe,2,Tulpar,1,1,6.4,3,Nvidia,4,Intel,"(20000, 40000]",3,Orta Performans,9.805577959025328
5,ASUS,9699,2325,4.4,8,https://www.trendyol.com/asus/x515ea-bq868-15-6-fhd-i3-1115g4-4-gb-ram-256-gb-ssd-freedos-p-735393903,Intel Core i3,4,256,FreeDos,Resmi Distribütör Garantili,Intel Graphics,15.6,Ev - Okul,0,0,1115G4,2,11. Nesil,0,Q Türkçe,2,X515,0,1,4.800000000000001,2,Intel,1,Intel,"(0, 20000]",0,Düşük Performans,8.835811766824925
6,LENOVO,27999,429,5.0,1,https://www.trendyol.com/lenovo/loq-83gs007wtr16-intel-core-i5-12450hx-16gb-512gb-ssd-rtx-4050-freedos-15-6-fhd-bilgisayar-p-836136663,Intel Core i5,16,512,FreeDos,Resmi Distribütör Garantili,Nvidia GeForce RTX 4050,15.6,Oyun,1,6,12450H,8,12. Nesil,0,Q Türkçe,2,Loq,0,1,6.4,3,Nvidia,5,Intel,"(20000, 40000]",3,Orta Performans,10.037185494448652
7,HP,13999,411,4.0,2,https://www.trendyol.com/hp/15s-fq4015nt-54u49ea-i5-1155g7-8gb-512ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-764668783,Intel Core i5,8,512,FreeDos,Resmi Distribütör Garantili,Intel Graphics,15.6,Ofis - İş,0,0,1155G7,2,11. Nesil,0,Q Türkçe,2,15S,0,1,4.800000000000001,2,Intel,1,Intel,"(0, 20000]",0,Düşük Performans,7.781589493081599
8,LENOVO,6289,17700,4.2,152,https://www.trendyol.com/lenovo/ip-celeron-islemci-4-gb-ram-128-gb-ssd-15-6-win-laptop-gri-82v700a9tx-p-759819201,Intel Celeron,4,128,Windows,Resmi Distribütör Garantili,Intel Graphics,15.6,Ev - Okul,0,0,N4020,2,Gemini Lake Refresh,0,Q Türkçe,2,Ideapad,0,1,2.0,1,Intel,1,Intel,"(0, 20000]",0,Düşük Performans,9.985270473481002
9,MONSTER,20999,2371,5.0,9,https://www.trendyol.com/monster/abra-a5-v21-3-intel-core-i7-12700h-16-gb-ram-500-gb-ssd-4-gb-rtx-2050-freedos-15-6-fhd-144-hz-p-819758215,Intel Core i7,16,500,FreeDos,Resmi Distribütör Garantili,Nvidia GeForce RTX 2050,15.6,Oyun,1,4,12700H,14,12. Nesil,0,Q Türkçe,2,Abra,1,1,7.600000000000001,4,Nvidia,2,Intel,"(20000, 40000]",0,Düşük Performans,10.22328514160093
