,Product Name,Product Price,Product Favorite,Product Rating,Product Rating Count,Product URL,İşlemci Tipi,Ram (Sistem Belleği),SSD Kapasitesi,İşletim Sistemi,Garanti Tipi,Ekran Kartı,Ekran Boyutu,Kullanım Amacı,Ekran Kartı Tipi,Ekran Kartı Hafızası,İşlemci Modeli,İşlemci Çekirdek Sayısı,İşlemci Nesli,Dokunmatik Ekran,Bağlantılar,Klavye,Garanti Süresi,HDMI
0,CASPER,44.799 TL,164 kişi,4.5,2.0,https://www.trendyol.com/casper/excalibur-g870-1270-bfb0a-b-intel-core-i7-12700h-16gb-ram-1tb-nvme-ssd-gen4-8gb-rtx4060-w11-p-804769241,Intel Core i7,16 GB,1 TB,Windows,Casper Türkiye Garantili,Nvidia GeForce RTX 4060,"15,6 inç",Oyun,Harici,8 GB,12700H,14,12. Nesil,Yok,Bluetooth,Q Türkçe + Numerik (RGB Aydınlatmalı),2 Yıl,
1,Dell,61.000 TL,629 kişi,4.0,4.0,https://www.trendyol.com/dell/g16-7630-i9-13900hx-32gb-1tb-ssd-8gb-rtx4070-16-0-qhd-freedos-g76302401024u-p-819639022,Intel Core i9,32 GB,1 TB,Linux,Dell Türkiye Garantili,Nvidia GeForce RTX 4070,16 inç,Oyun,Harici,16 GB,13900HX,16,13. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe,2 Yıl,
2,LENOVO,8.499 TL,7408 kişi,4.7,26.0,https://www.trendyol.com/lenovo/ideapad-intel-celeron-n4020-4gb-256gb-ssd-windows-11-home-15-6-82v700a9txa1-p-819581735,Intel Celeron,4 GB,256 GB,Windows,Lenovo Türkiye Garantili,Intel Graphics,"15,6 inç",Ev - Okul,Dahili,Paylaşımlı,N4020,2,10. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe (Aydınlatmasız),2 Yıl,
3,CASPER,23.899 TL,313 kişi,5.0,1.0,https://www.trendyol.com/casper/nirvana-c550-1235-df00r-g-f-intel-core-i5-1235u-32gb-ram-1tb-nvme-ssd-windows-11-pro-p-740918876,Intel Core i5,32 GB,1 TB,Windows,Casper Türkiye Garantili,Intel Graphics,"15,6 inç",Ofis - İş,Dahili,Paylaşımlı,1235U,10,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe + Numerik (Aydınlatmalı),2 Yıl,
4,MONSTER,36.005 TL,6540 kişi,4.5,108.0,https://www.trendyol.com/monster/tulpar-t5-v23-3-2-intel-core-i5-12450h-32-gb-ram-1-tb-ssd-8-gb-rtx-4060-freedos-15-6-fhd-144-hz-p-762942774,Intel Core i5,32 GB,1 TB,Free Dos,Monster Türkiye Garantili,Nvidia GeForce RTX 4060,"15,6 inç",Oyun,Harici,8 GB,12450H,8,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe + Numerik (Aydınlatmalı),2 Yıl,
5,ASUS,9.699 TL,2325 kişi,4.4,8.0,https://www.trendyol.com/asus/x515ea-bq868-15-6-fhd-i3-1115g4-4-gb-ram-256-gb-ssd-freedos-p-735393903,Intel Core i3,4 GB,256 GB,Free Dos,Asus Türkiye Garantili,Intel Graphics,"15,6 inç",Ev - Okul,Dahili,Paylaşımlı,1115G4,4,11. Nesil,Yok,HDMI,Q Türkçe (Aydınlatmasız),2 Yıl,
6,LENOVO,27.999 TL,429 kişi,5.0,1.0,https://www.trendyol.com/lenovo/loq-83gs007wtr16-intel-core-i5-12450hx-16gb-512gb-ssd-rtx-4050-freedos-15-6-fhd-bilgisayar-p-836136663,Intel Core i5,16 GB,512 GB,Free Dos,Resmi Distribütör Garantili,Nvidia GeForce RTX 4050,"15,6 inç",Oyun,Harici,6 GB,12450H,8,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe,2 Yıl,
7,HP,13.999 TL,411 kişi,4.0,2.0,https://www.trendyol.com/hp/15s-fq4015nt-54u49ea-i5-1155g7-8gb-512ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-764668783,Intel Core i5,8 GB,512 GB,Free Dos,Resmi Distribütör Garantili,Intel Graphics,"15,6 inç",Ofis - İş,Dahili,Paylaşımlı,1155G7,4,11. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe + Numerik (Aydınlatmasız),2 Yıl,
8,LENOVO,6.289 TL,17.7B kişi,4.2,152.0,https://www.trendyol.com/lenovo/ip-celeron-islemci-4-gb-ram-128-gb-ssd-15-6-win-laptop-gri-82v700a9tx-p-759819201,Intel Celeron,4 GB,128 GB,Windows,Resmi Distribütör Garantili,Intel Graphics,"15,6 inç",Ev - Okul,Dahili,Paylaşımlı,N4020,2,10. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe (Aydınlatmasız),2 Yıl,
9,MONSTER,20.999 TL,2371 kişi,5.0,9.0,https://www.trendyol.com/monster/abra-a5-v21-3-intel-core-i7-12700h-16-gb-ram-500-gb-ssd-4-gb-rtx-2050-freedos-15-6-fhd-144-hz-p-819758215,Intel Core i7,16 GB,500 GB,Free Dos,Monster Türkiye Garantili,Nvidia GeForce RTX 2050,"15,6 inç",Oyun,Harici,4 GB ve altı,12700H,14,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe + Numerik (RGB Aydınlatmalı),2 Yıl,
